CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 013.002 0 0.121604919434 0.142362833023 0.16249704361 0.121604919434 0.139795064926 0.16249704361 0.16249704361 1.0
400 013.002 0 2.44045114517 4.28118758069 7.24715709686 3.16962099075 4.46372509003 5.00429487228 5.13603997231 0.493055555556
600 013.002 5.0 0.654603004456 5.58238680661 14.3964819908 3.84011507034 4.95637893677 9.74192881584 10.5725519657 0.39375
800 013.002 30.4347826087 0.203800916672 7.25240365318 24.1768889427 0.27946305275 7.26386499405 14.5365819931 17.2987270355 0.369565217391
1000 013.002 38.6363636364 0.202570915222 9.18691807985 24.5941319466 0.322785139084 11.9447581768 21.3997790813 21.815776825 0.375
1200 013.002 0 2.26407289505 5.41844546795 8.88894104958 2.26407289505 6.79110598564 8.88894104958 8.88894104958 0.25
