CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 002.001 0 0.0832431316376 0.0938114722569 0.103492975235 0.0832431316376 0.0970449447632 0.103492975235 0.103492975235 1.0
400 002.001 1.23456790123 0.619719028473 7.72197504397 14.9162521362 3.26342010498 7.04736399651 14.6274700165 14.7096440792 0.179012345679
600 002.001 4.57516339869 0.723430156708 5.47694382169 12.8109879494 3.17676091194 4.43031620979 9.93015503883 11.1102318764 0.359477124183
800 002.001 45.0980392157 0.222808122635 4.16662125961 14.8206241131 0.287477016449 3.26825118065 10.000772953 11.467031002 0.56862745098
1000 002.001 52.9616724739 0.173579931259 5.39354389137 35.0286960602 0.320495128632 0.683914899826 16.362128973 23.2325060368 0.587108013937
1200 002.001 1.42180094787 0.000141143798828 5.04603444908 16.6414251328 2.16402602196 4.13065004349 8.31089282036 12.1412730217 0.345971563981
1400 002.001 0.104931794334 0.000136137008667 5.1078206995 34.231222868 2.93403315544 4.33442306519 5.4143371582 11.434016943 0.482686253935
1600 002.001 90.6028368794 0.000143051147461 2.63933099627 42.2815899849 0.167541980743 0.424541950226 4.33690690994 23.6237969398 0.88829787234
1800 002.001 89.5697522816 0.0889508724213 2.18649164577 44.8760421276 0.202714204788 0.450558900833 4.42902803421 13.8902420998 0.909387222947
2000 002.001 0 0.76172709465 3.95158496164 26.531676054 1.51646590233 3.90785908699 5.72352194786 6.21734404564 0.506527415144
