CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 016.001 0 0.0335810184479 0.0392609596252 0.0495429039001 0.0335810184479 0.0386300086975 0.0495429039001 0.0495429039001 1.0
400 016.001 0 3.31693601608 4.11859146988 4.67251801491 3.73893690109 4.10832691193 4.60586214066 4.65729093552 0.5
600 016.001 0 2.79015684128 4.58879917495 9.41260790825 3.3727080822 4.09555101395 7.79118180275 8.48215699196 0.438775510204
800 016.001 22.5 0.237354040146 6.00878840387 24.2398309708 0.328858852386 5.50038218498 13.2089738846 14.3992409706 0.40625
1000 016.001 16.1290322581 0.466214179993 10.4885720514 33.1675479412 0.646133184433 8.17064213753 21.405369997 29.3651800156 0.193548387097
1200 016.001 0 2.6228260994 4.07593750954 5.52904891968 2.6228260994 5.52904891968 5.52904891968 5.52904891968 0.5
