CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 010.001 0 0.0324420928955 0.0430134296417 0.0573899745941 0.0324420928955 0.0444419384003 0.0573899745941 0.0573899745941 1.0
400 010.001 0 2.31338310242 4.56326217547 11.6226370335 2.83994698524 4.24200201035 6.80802083015 8.93799710274 0.416058394161
600 010.001 1.7094017094 0.928889036179 6.36769223825 14.1346240044 3.77216982841 5.50241804123 9.75216507912 10.6017539501 0.290598290598
800 010.001 37.2340425532 0.197112798691 6.18888374085 23.9172840118 0.267132043839 5.38531684875 13.8943340778 14.8799960613 0.452127659574
1000 010.001 58.1395348837 0.22767996788 7.04980179321 32.99604702 0.340664863586 1.97409009933 21.4936051369 22.1719138622 0.558139534884
1200 010.001 0 2.19389605522 7.70043253901 13.2069690228 2.19389605522 13.2069690228 13.2069690228 13.2069690228 0.25
