CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 007.001 0 0.0421030521393 0.0493501663208 0.0678379535675 0.0421030521393 0.0436608791351 0.0678379535675 0.0678379535675 1.0
400 007.001 0 2.57543492317 6.35314117463 15.2655010223 3.72081017494 6.1456091404 9.42824888229 9.98992180824 0.246478873239
600 007.001 4.6875 0.697149991989 5.93741520246 14.8616681099 3.89937710762 5.27648806572 9.72677588463 10.5713989735 0.330729166667
800 007.001 22.4137931034 0.246331930161 7.26088819421 24.4644470215 0.36354804039 6.68429899216 13.4443430901 18.1397161484 0.336206896552
1000 007.001 26.0869565217 0.299078941345 7.9160734726 34.5449090004 0.456440925598 5.22405600548 21.8926599026 26.0519940853 0.472826086957
1200 007.001 12.5 1.02591705322 4.49388110638 8.55840206146 1.02591705322 4.71146893501 8.55840206146 8.55840206146 0.4375
1400 007.001 0 5.31456494331 6.03547298908 6.75638103485 5.31456494331 6.75638103485 6.75638103485 6.75638103485 0.25
