CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 015.001 0 0.0349130630493 0.036884355545 0.040296792984 0.0349130630493 0.0351679325104 0.040296792984 0.040296792984 1.0
400 015.001 0 2.60205006599 3.99057180285 4.69440102577 3.4482550621 4.03495311737 4.55800414085 4.69422292709 0.5
600 015.001 0 2.61704611778 4.77680839385 9.59461212158 3.03221297264 4.33804702759 7.47603106499 8.31034898758 0.401785714286
800 015.001 12.9411764706 0.220105886459 7.14448684524 21.5877621174 1.1356959343 6.04796409607 13.6124839783 14.0585010052 0.311764705882
1000 015.001 8.0 0.305415868759 6.72565683365 13.9163730145 4.3865749836 5.06749510765 12.5379049778 12.8226599693 0.36
1200 015.001 0 17.4996330738 17.4996330738 17.4996330738 17.4996330738 17.4996330738 17.4996330738 17.4996330738 0.0
