CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 003.001 0 0.0359318256378 0.044996937116 0.0765509605408 0.0359318256378 0.0398499965668 0.0765509605408 0.0765509605408 1.0
400 003.001 0 1.89084100723 5.76515238102 13.8914499283 2.76245307922 5.85523104668 8.35022592545 9.07287406921 0.264423076923
600 003.001 1.62601626016 0.787150859833 4.93775434223 10.8310170174 2.92787098885 4.11300396919 8.1361079216 9.21844005585 0.349593495935
800 003.001 9.09090909091 0.228585004807 7.1121580334 17.5276200771 2.61749792099 8.08445096016 9.77837085724 10.3075430393 0.185314685315
1000 003.001 14.2857142857 0.198496103287 6.82220157215 25.398059845 0.621626853943 6.6152100563 11.5838289261 11.7939281464 0.278571428571
1200 003.001 1.80412371134 0.0113408565521 4.27274549315 16.0947449207 1.8458340168 3.36446905136 7.42512893677 8.15093994141 0.386597938144
1400 003.001 0 0.730082988739 3.45431355355 32.4144749641 1.34315085411 1.6594350338 4.52571582794 4.74585413933 0.62323943662
1600 003.001 10.7142857143 0.130928039551 5.20177332844 16.4467670918 0.545068979263 4.65326189995 10.6067698002 13.2733941078 0.392857142857
1800 003.001 79.3103448276 0.116377830505 3.69204928957 19.5832009315 0.154578924179 0.282130002975 19.3032560349 19.3464097977 0.775862068966
2000 003.001 0 0.600240945816 3.70089471053 20.4330780506 1.42863106728 3.85935401917 5.59349703789 5.90829586983 0.537800687285
