CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 012.002 0 0.131589174271 0.140301418304 0.149682998657 0.131589174271 0.137159824371 0.149682998657 0.149682998657 1.0
400 012.002 0 2.58960008621 4.24004013887 6.93373298645 3.12322115898 4.40080595016 4.99017596245 5.18697810173 0.488764044944
600 012.002 8.51063829787 0.706202983856 5.97588411798 11.2098500729 3.70178389549 5.38028097153 9.82324385643 10.0633659363 0.356382978723
800 012.002 9.85915492958 0.228667974472 8.15682951497 24.1408410072 3.74502515793 6.76265311241 14.8270089626 16.5601379871 0.253521126761
1000 012.002 17.3913043478 0.471450090408 11.5327303721 29.6239669323 0.563014984131 11.1516361237 23.6672558784 26.3332750797 0.173913043478
1200 012.002 0 2.92643690109 10.108680884 17.3596959114 2.92643690109 10.0399098396 17.3596959114 17.3596959114 0.166666666667
