CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 001.001 0 0.0400140285492 0.0514791806539 0.0767679214478 0.0400140285492 0.053582906723 0.0767679214478 0.0767679214478 1.0
400 001.001 4.54545454545 0.932022094727 6.57721340656 14.2720630169 3.98014307022 6.79680299759 8.99977302551 9.74028086662 0.219696969697
600 001.001 2.1164021164 1.42114090919 7.72426779308 13.9333519936 3.67815494537 8.39402198792 11.2641859055 11.561000824 0.179894179894
800 001.001 87.6559422193 0.348093986511 1.41618974054 17.9784300327 0.427730083466 0.54994893074 4.18407011032 9.1646490097 0.899868680236
1000 001.001 71.0304942166 0.300837993622 3.38897839267 35.5192189217 0.597725152969 0.937099218369 9.78047704697 13.1275339127 0.740273396425
1200 001.001 19.7674418605 8.79764556885e-05 10.7921387342 22.420165062 0.00160002708435 11.6675519943 19.4343779087 20.4997930527 0.227390180879
1400 001.001 21.4463840399 9.20295715332e-05 15.4428917353 36.5269970894 0.000998020172119 13.8508160114 33.2307350636 34.6428029537 0.240648379052
1600 001.001 65.6356325394 9.29832458496e-05 7.78644231108 44.2886960506 0.000674962997437 0.719784021378 29.9604010582 34.0645260811 0.597742035261
1800 001.001 71.1050724638 9.29832458496e-05 9.40438843709 59.9998311996 0.000396013259888 0.53607416153 38.9158239365 48.9459369183 0.648852657005
2000 001.001 39.4095940959 9.29832458496e-05 10.6538695506 36.1592030525 0.000348091125488 7.74257421494 27.0278799534 29.6727938652 0.436162361624
