CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 014.001 0 0.034961938858 0.038780260086 0.0431950092316 0.034961938858 0.0387952327728 0.0431950092316 0.0431950092316 1.0
400 014.001 0 2.28064513206 3.99214851856 5.0223698616 2.72377514839 4.29438781738 4.64360594749 4.77429389954 0.5
600 014.001 1.47058823529 0.932306051254 5.3412800291 11.5381419659 3.54711103439 4.64860296249 8.57995200157 9.65975093842 0.389705882353
800 014.001 23.0769230769 0.215976953506 6.66232897318 14.6860909462 0.386838912964 6.46939086914 11.131663084 13.2718529701 0.323076923077
1000 014.001 41.8181818182 0.36590886116 11.3668160655 33.4461569786 0.539547920227 11.8948700428 25.7366368771 26.7361290455 0.336363636364
1200 014.001 0 2.94942998886 2.94942998886 2.94942998886 2.94942998886 2.94942998886 2.94942998886 2.94942998886 0.5
