CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 008.001 0 0.0343289375305 0.0472047805786 0.0694220066071 0.0343289375305 0.0468330383301 0.0694220066071 0.0694220066071 1.0
400 008.001 0.505050505051 0.791007995605 6.06561647401 13.1471471786 3.57422399521 5.25692391396 9.5257601738 10.137004137 0.310606060606
600 008.001 2.43902439024 0.821465969086 6.76196787706 15.0031318665 4.18579792976 5.97781610489 10.7862141132 11.6814470291 0.265243902439
800 008.001 8.59375 0.244677066803 8.08006956614 17.657283783 3.01325201988 7.85729908943 12.5797989368 14.0706188679 0.16796875
1000 008.001 9.375 0.355584859848 9.79373604804 28.7207388878 4.73108386993 8.32624483109 20.5267601013 25.2807149887 0.25
1200 008.001 0 2.3260011673 5.59212406476 11.8728749752 2.3260011673 2.57749605179 11.8728749752 11.8728749752 0.333333333333
