CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 007.002 0 0.0269379615784 0.0346959590912 0.0468490123749 0.0269379615784 0.0314698219299 0.0468490123749 0.0468490123749 1.0
400 007.002 0.473933649289 0.517222166061 6.64923701467 12.9652831554 3.90522694588 5.75035214424 10.1254079342 12.0662229061 0.263033175355
600 007.002 6.14525139665 0.789217948914 6.55762327717 15.1537649632 4.01413393021 5.61595821381 11.543847084 12.0110418797 0.310055865922
800 007.002 12.2222222222 0.252064943314 9.49762128195 26.0969340801 0.763429880142 10.6287488937 14.3334410191 15.3202471733 0.183333333333
1000 007.002 19.0476190476 0.200990200043 6.93571989499 24.9577908516 0.5789539814 5.91979694366 13.0045320988 18.4245328903 0.357142857143
1200 007.002 0 2.92975497246 10.6739518166 20.3463978767 2.92975497246 8.5915491581 20.3463978767 20.3463978767 0.1
