CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 014.002 0 0.12682890892 0.142549562454 0.157589912415 0.12682890892 0.140198945999 0.157589912415 0.157589912415 1.0
400 014.002 0 2.92853307724 4.38543455303 5.28776192665 3.26716279984 4.60422492027 5.01273298264 5.12582707405 0.5
600 014.002 0 3.09713888168 5.2832965152 11.6502461433 3.96134400368 4.79340791702 8.34438204765 10.1186721325 0.422413793103
800 014.002 13.698630137 0.247184991837 7.4660559615 23.9997479916 0.514883041382 7.94536995888 11.8447489738 13.2323670387 0.267123287671
1000 014.002 34.375 0.29197716713 7.55698565394 22.5759420395 0.449913978577 5.3553211689 19.4261260033 21.8199498653 0.4375
