CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 008.002 0 0.0291631221771 0.0320814609527 0.0356590747833 0.0291631221771 0.0317809581757 0.0356590747833 0.0356590747833 1.0
400 008.002 0 2.28582811356 5.61713904944 15.6472990513 3.23830795288 4.74743294716 8.52418899536 9.2113070488 0.312865497076
600 008.002 5.69620253165 0.691664218903 6.07238126556 14.0652308464 3.63318991661 5.10413789749 10.2173540592 11.3092091084 0.316455696203
800 008.002 12.101910828 0.221271038055 6.76293366122 24.1185159683 0.827615022659 6.4454460144 11.4631090164 13.0408241749 0.264331210191
1000 008.002 11.4754098361 0.311906814575 9.8873148668 32.882475853 0.809858798981 7.79470300674 20.5848500729 22.9624071121 0.188524590164
1200 008.002 0 2.3620390892 3.81643732389 5.62061882019 2.3620390892 3.46665406227 5.62061882019 5.62061882019 0.5
