CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 006.001 0 0.0562090873718 0.0637788772583 0.072448015213 0.0562090873718 0.0632700920105 0.072448015213 0.072448015213 1.0
400 006.001 1.9801980198 0.536816835403 6.32374302822 15.1310689449 2.86983895302 6.40069317818 9.79892897606 12.1449539661 0.227722772277
600 006.001 2.51256281407 0.741837978363 6.34449820063 14.0451710224 3.49227404594 5.81940793991 10.0876040459 10.5812950134 0.268844221106
800 006.001 67.5126903553 0.184965133667 3.16408203822 24.3531370163 0.238523006439 0.357649087906 11.1208980083 12.5580208302 0.723350253807
1000 006.001 65.1877133106 0.152732849121 4.75083238273 32.300604105 0.305983066559 0.538055181503 18.266024828 21.0867791176 0.68771331058
1200 006.001 0 2.0496430397 5.33166999402 11.4182200432 2.38635897636 4.84514689445 7.94637203217 8.08069109917 0.326086956522
1400 006.001 0 1.41659283638 2.1790506045 3.4217247963 1.41659283638 1.69883418083 3.4217247963 3.4217247963 0.666666666667
2000 006.001 0 5.12375593185 5.12375593185 5.12375593185 5.12375593185 5.12375593185 5.12375593185 5.12375593185 0.5
