CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 009.002 0 0.0262989997864 0.0316939353943 0.035099029541 0.0262989997864 0.0330100059509 0.035099029541 0.035099029541 1.0
400 009.002 0 2.40899991989 5.25601866072 14.7292020321 2.88063383102 4.43341207504 9.15269899368 9.74380803108 0.350993377483
600 009.002 9.84848484848 0.617846012115 6.07140246124 12.213463068 3.20849299431 5.2632920742 9.98347401619 11.6318080425 0.329545454545
800 009.002 39.0977443609 0.214351177216 5.54418652578 23.9501879215 0.264605045319 4.64651298523 12.8963029385 14.5946068764 0.503759398496
1000 009.002 45.4545454545 0.215224027634 8.19101335605 33.4685518742 0.480762004852 8.15642499924 18.1796910763 22.0328807831 0.454545454545
1200 009.002 0 18.0166251659 18.0166251659 18.0166251659 18.0166251659 18.0166251659 18.0166251659 18.0166251659 0.0
