CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 005.001 0 3.04160881042 3.04756579399 3.05949497223 3.04160881042 3.0457880497 3.05949497223 3.05949497223 0.5
400 005.001 0 3.04278206825 9.09219251168 19.5495090485 5.74082398415 8.87176299095 13.0416810513 14.75339818 0.0589743589744
600 005.001 4.63917525773 0.848975896835 9.2907206582 16.7520740032 6.45373106003 9.18184781075 13.2417581081 15.0683400631 0.0515463917526
800 005.001 26.9480519481 0.235973119736 9.50145218357 28.4213008881 0.550384044647 9.53987312317 17.7928180695 22.1050040722 0.293831168831
1000 005.001 23.9294710327 0.29673409462 15.0490161712 37.2386491299 0.573498010635 15.9540669918 28.1117639542 32.509663105 0.22040302267
1200 005.001 6.97674418605 0.869445800781 5.08205972161 17.1703429222 2.12544703484 5.08265590668 8.08124685287 8.8916721344 0.395348837209
1400 005.001 0 1.16937613487 4.92355912382 8.11128306389 2.06226396561 5.36017417908 7.6702439785 8.11128306389 0.363636363636
2000 005.001 33.3333333333 0.108381032944 3.58370272319 5.68732118607 0.108381032944 4.95540595055 5.68732118607 5.68732118607 0.666666666667
