CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 001.002 0 0.0313808917999 0.0373423496882 0.0469710826874 0.0313808917999 0.0373899936676 0.0469710826874 0.0469710826874 1.0
400 001.002 0 1.1440179348 1.94125802176 2.57929491997 1.37674212456 1.94957304001 2.38418412209 2.46158003807 0.571428571429
600 001.002 0 1.44435310364 2.3479098628 3.11439085007 1.94310092926 2.37948417664 2.79959106445 2.95883798599 0.5078125
800 001.002 0 0.431048154831 1.5175436699 6.04231309891 0.593771934509 0.813729047775 3.89659905434 4.72569108009 0.840909090909
1000 001.002 0 0.440510988235 1.36152894411 6.56606602669 0.734446048737 1.10668301582 2.35036611557 2.8868689537 0.881927710843
1200 001.002 0 0.909096002579 2.76599122417 11.022454977 1.07116413116 1.2222878933 8.48004508018 9.51429986954 0.763255240444
1400 001.002 0 0.591416835785 1.24004990444 10.7188220024 0.747081041336 0.884036064148 1.06552219391 5.1380238533 0.949246231156
1600 001.002 0 0.169976949692 0.910040769431 12.2676689625 0.378457069397 0.603594064713 1.10101389885 1.307970047 0.964028776978
1800 001.002 0 0.224155187607 0.821238400343 10.4036810398 0.349352121353 0.563005924225 0.795919895172 1.41027498245 0.962446351931
2000 001.002 0 0.327232837677 2.80034566744 17.8853588104 0.588082075119 0.859477996826 11.235517025 13.7662510872 0.813235294118
