CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 012.001 0 0.0381808280945 0.0413915634155 0.0447070598602 0.0381808280945 0.0421431064606 0.0447070598602 0.0447070598602 1.0
400 012.001 0 2.17950606346 4.08022781334 8.14592313766 2.73843002319 4.18062114716 4.95848202705 6.20500802994 0.464646464646
600 012.001 4.21052631579 0.72846198082 5.57306788344 14.2622368336 3.40874791145 4.75643610954 9.36582708359 10.0967750549 0.368421052632
800 012.001 14.2857142857 0.217452049255 7.10318698542 25.6799869537 0.59957408905 6.19170999527 14.0020730495 17.0567290783 0.307142857143
1000 012.001 30.4347826087 0.334208011627 11.0736329659 33.1712589264 0.554181098938 8.36899614334 29.1571669579 31.1191809177 0.326086956522
1200 012.001 0 17.6096220016 17.6096220016 17.6096220016 17.6096220016 17.6096220016 17.6096220016 17.6096220016 0.0
