CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 004.001 0 0.185245037079 0.19049624602 0.199565172195 0.185245037079 0.189550161362 0.199565172195 0.199565172195 1.0
400 004.001 0 3.22550988197 7.61065681 16.5110430717 4.22030711174 7.73190808296 10.5899980068 10.9279298782 0.170731707317
600 004.001 0.854700854701 1.08135914803 7.15178616842 13.971282959 4.49962210655 5.80276203156 11.7110068798 12.33426404 0.260683760684
800 004.001 4.06779661017 0.204396009445 10.2916998904 18.5297100544 5.4022731781 10.9626741409 15.6558201313 16.9634420872 0.0796610169492
1000 004.001 28.9855072464 0.283530950546 12.0467969922 35.1689090729 0.568410158157 10.412250042 29.5009851456 32.5457398891 0.304347826087
1200 004.001 0.469483568075 1.0037009716 6.69971925216 23.6488330364 2.92480802536 5.97434401512 9.59749817848 18.1423149109 0.253521126761
1400 004.001 0 1.06605100632 3.77968206201 32.5140798092 1.44692492485 2.34201788902 6.53821897507 6.8154270649 0.451612903226
1600 004.001 0 12.1891000271 28.7932974696 35.4466128349 12.1891000271 34.6915102005 35.4466128349 35.4466128349 0.0
1800 004.001 100.0 0.520850896835 0.5250364542 0.529222011566 0.520850896835 0.529222011566 0.529222011566 0.529222011566 1.0
2000 004.001 0 1.0668129921 5.29732110687 27.6001009941 1.77995586395 6.05533313751 7.36402511597 7.66904878616 0.289215686275
