CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 013.001 0 0.036915063858 0.0402078151703 0.0451440811157 0.036915063858 0.0397369861603 0.0451440811157 0.0451440811157 1.0
400 013.001 0 2.18252301216 3.93992743963 6.11882805824 2.8410320282 4.05063486099 4.71122384071 4.81654286385 0.493827160494
600 013.001 2.38095238095 0.956223964691 5.55174414317 12.1805169582 3.57769203186 4.66188216209 9.34630894661 9.4809319973 0.345238095238
800 013.001 18.3098591549 0.212072849274 6.32123247334 16.9635159969 0.428576946259 4.7778980732 12.3544239998 14.2810418606 0.37323943662
1000 013.001 32.1428571429 0.326892137527 10.6415996892 25.8516120911 0.45849609375 9.84845495224 23.2009739876 25.0990259647 0.357142857143
1200 013.001 0 2.03539180756 5.71647918225 15.270359993 2.03539180756 3.12354898453 15.270359993 15.270359993 0.375
