CUs SPPS ERROR MIN AVG MAX P10 P50 P90 P95 APDEX E G F P U
10 2.93333333333 5.88235294118 0.0930328369141 2.2144444435 25.7530810833 0.273650884628 0.521896123886 9.76675796509 11.238049984 0.824701195219 0 0 0.824701195219 0 0
50 6.6 26.8022181146 1.37449502945 3.56349853932 12.8989579678 1.52522397041 2.19343900681 10.5340602398 11.481853962 0.54 0 0 0 0.54 0
100 10.05 13.9800285307 2.31371688843 4.82957589949 18.5948059559 2.78080487251 3.27835893631 11.6112818718 12.8792419433 0.540329972502 0 0 0 0.540329972502 0
