CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 006.002 0 0.0240302085876 0.0277325212956 0.0441000461578 0.0240302085876 0.0264110565186 0.0441000461578 0.0441000461578 1.0
5 006.002 0 0.0238540172577 0.0957830793717 0.277906179428 0.0292930603027 0.0769591331482 0.205322980881 0.277906179428 1.0
10 006.002 0 0.051805973053 0.162163637578 0.404618024826 0.0835900306702 0.147218942642 0.250466108322 0.39470410347 1.0
